"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26350-00013,다소미공원,어린이공원,,부산광역시 해운대구 중동 1508-10,35.1575399,129.176295,2311.7,,,,,,1970-11-23,해운대구청 늘푸른과,,2020-12-15
26350-00014,달맞이공원,근린공원,,부산광역시 해운대구 중동 991-29,35.15895962,129.1733871,52610,,,,,,2002-06-01,해운대구청 늘푸른과,,2020-12-15
26350-00015,담안골공원,근린공원,,부산광역시 해운대구 반송동 882(반송택지개발지구),35.2277501,129.1635147,10099.3,,,,,,1991-01-09,해운대구청 늘푸른과,,2020-12-15
26350-00016,대천공원,근린공원,부산광역시 해운대구 장산로 331-19,부산광역시 해운대구 좌동 1381,35.1816326,129.1670869,78153.8,,,,,,1992-08-06,해운대구청 늘푸른과,,2020-12-15
26350-00017,도담공원,어린이공원,,부산광역시 해운대구 우동 1541,35.1683296,129.1350636,1353.1,,,,,,1972-05-08,해운대구청 늘푸른과,,2020-12-15
26350-00018,동래-해운대공원,근린공원,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,35.16668891,129.1370252,133149,,,,,,1970-03-27,해운대구청 늘푸른과,,2020-12-15
26350-00019,동백공원,근린공원,,부산광역시 해운대구 우동710-3,35.1526107,129.1525422,146350,,,,,,1966-09-01,관광관리시설사업소,,2020-12-15
26350-00020,미리내공원,어린이공원,,부산광역시 해운대구 좌동 1416,35.1780314,129.1791093,2502.8,,,,,,1992-08-06,해운대구청 늘푸른과,,2020-12-15
26350-00021,미소공원,어린이공원,부산광역시 해운대구 좌동순환로433번길 32,부산광역시 해운대구 중동 1816,35.16170914,129.1789973,5058.9,,,,,,2006-06-07,해운대구청 늘푸른과,,2020-12-15
26350-00022,바다내음공원,어린이공원,,부산광역시 해운대구 중동 1516-1,35.1612302,129.1720614,421.8,,,,,,1970-11-13,해운대구청 늘푸른과,,2020-12-15
26350-00023,바람공원,어린이공원,,부산광역시 해운대구 반여동 1620,35.2044962,129.1218958,4575.9,,,,,,1999-03-06,해운대구청 늘푸른과,,2020-12-15
